sample_ID,full_ID,sa_colony,sa_frag,month,year,timepoint,Ro,Ra,vol_acetone_mL,vol_coral_extract_mL,ug_chla_L,ug_chla_total,ug_chla_cm,tin_weight_mg,sa_cm2,resuspension_vol
A12-A,A12-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,119,64.8,6,5,51.64176,0.61970112,NA,NA,NA,12
A21-S,A14-S-new_1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,298,153,6,0.5,1381.56,13.8156,1.133517937,77.75,12.18825,10
A21-A,A14-A-new_1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,13.4,4.23,6,5,8.737176,0.08737176,0.012139705,47.13,7.19719,10
A-18-S,A-18-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,614,292,6,0.5,3068.016,33.748176,0.914567862,229.36,36.90068,11
A-18-A,A-18-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,982,461,6,5,496.4088,4.964088,0.218289274,142.49,22.74087,10
S1-S,S1-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,321,182,6,5,132.4392,1.324392,0.062421796,133.14,21.21682,10
S1-A,S1-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,1.71,-0.5,6,5,2.105688,0.02105688,0.001815787,74.12,11.59656,10
S6-S,S6-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,591,292,6,0.5,2848.872,28.48872,1.891847094,95.36,15.05868,10
S6-A,S6-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,-4,,6,5,-3.8112,-0.038112,-0.004783024,51.86,7.96818,10
S7-S,S7-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,256,126,6,0.1,6193.2,61.932,2.397854429,161.43,25.82809,10
S7-A,S7-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,127,62.4,6,0.5,615.5088,6.155088,0.22436279,171.28,27.43364,10
S9-S,S9-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,786,364,6,0.5,4020.816,40.20816,1.963908538,128.58,20.47354,10
S9-A,S9-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,-1.5,,6,5,-1.4292,-0.014292,-0.001071835,84.78,13.33414,10
S10-S,S10-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,199,94.2,6,0.1,4992.672,49.92672,1.100075069,281.41,45.38483,10
S10-A,S10-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,-1.3,,6,5,-1.23864,-0.0123864,-0.00123935,64.29,9.99427,10
S27-S,S11-S-new_1124,Symbiotic,Symbiotic,November,2024,Nov_24,78.1,38.4,6,0.5,378.2616,3.782616,0.40229554,60.66,9.40258,10
S27-A,S11-A-new_1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,-5.2,,6,5,-4.95456,-0.0495456,-0.005417757,59.08,9.14504,10
A11-S,A11-S-old_1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,449,217,6,0.5,2210.496,22.10496,1.638344976,85.75,13.49225,10
A11-A,A11-A-old-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,1.29,0.255,6,5,0.986148,0.00986148,0.001195779,53.57,8.24691,10
S11-S,S11-S-old-1124,Symbiotic,Symbiotic,November,2024,Nov_24,687,322,6,0.5,3477.72,36.51606,2.143685894,107.48,17.03424,10.5
S11-A,S11-A-old-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,252,120,6,5,125.7696,1.257696,0.109750045,73.28,11.45964,10
S15-S,S15-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,244,118,6,0.5,1200.528,12.00528,2.483667757,32.63,4.83369,10
S15-A,S15-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,196,97,6,5,94.3272,1.0847628,0.090526126,76.49,11.98287,11.5
S26-S,S26-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,394,187,6,0.1,9861.48,98.6148,5.935751819,104.9,16.6137,10
S26-A,S26-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,80.9,38.4,6,0.1,2024.7,20.247,2.06286927,63.19,9.81497,10
S12-S,S12-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,228,108,6,0.1,5716.8,57.168,1.362222256,260.44,41.96672,10
S12-A,S12-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,104,51.4,6,0.5,501.1728,5.011728,0.18329537,170.72,27.34236,10
S16-S,S16-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,188,92.3,6,0.5,911.8296,9.118296,0.677290125,85.57,13.46291,10
S16-A,S16-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,199,99.6,6,5,94.70832,0.9470832,0.060307791,99.32,15.70416,10
S17-S,S17-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,235,116,6,0.5,1133.832,11.33832,1.013930645,71.58,11.18254,10
S17-A,S17-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,599,287,6,5,297.2736,2.972736,0.30515828,62.74,9.74162,10
S18-S,S18-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,138,67.4,6,0.5,672.6768,6.726768,0.406408019,104.52,16.55176,10
S18-A,S18-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,497,247,6,5,238.2,2.382,0.078772785,188.49,30.23887,10
S19-S,S19-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,553,263,6,0.5,2763.12,27.6312,0.954514506,180.57,28.94791,10
S19-A,S19-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,640,306,6,5,318.2352,3.182352,0.247841903,81.75,12.84025,10
S21-S,S21-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,445,211,6,0.5,2229.552,24.525072,0.963659704,159.11,25.44993,11
S21-A,S21-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,368,183,6,5,176.268,2.20335,0.095056632,145.18,23.17934,12.5
S22-S,S22-S-1124,Symbiotic,Symbiotic,November,2024,Nov_24,81,42.9,6,0.1,1815.084,18.15084,0.583301197,193.88,31.11744,10
S22-A,S22-A-1124,Symbiotic,Aposymbiotic,November,2024,Nov_24,74.6,37.4,6,0.5,354.4416,4.0760784,0.217025088,118.2,18.7816,11.5
