sample_ID,Ro,Ra,vol_acetone_mL,vol_coral_extract_mL,ug_chla_L,ug_chla_total,ug_chla_cm,tin_weight_mg,count1,count2,count3,count4,count5,full_ID,sample_id,sa_colony,sa_frag,month,year,timepoint,sa_cm2,resuspension_vol,depth,depth_sa,avg_count,sym_mL,sym_total,sym_total_avg,sym_cm2,sym_cm2_avg,chla_pg_sym,chla_pg_sym_avg
A24-S,953,438,6,0.5,4906.92,49.0692,1.849303607,165.76,98,41,63,117,28,A24-S-1124,A24-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,26.53388,10,Shallow,Shallow Symbiotic,69.4,694000,6940000,5150000,261552.4002,233173.4539,7.070489914,3.879784242
A24-A,479,236,6,5,231.5304,2.315304,0.141119507,103.63,41,3,55,23,46,A24-A-1124,A24-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.40669,10,Shallow,Shallow Aposymbiotic,33.6,336000,3360000,,204794.5076,,0.689078571,
A25-S,223,105,6,0.5,1124.304,14.615952,1.854395004,51.33,43,36,27,29,39,A25-S-1124,A25-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,7.88179,13,Shallow,Shallow Symbiotic,34.8,348000,4524000,3302000,573981.2911,376308.3357,3.230758621,2.34784431
A25-A,480,234,6,5,234.3888,3.0470544,0.261688328,74.41,23,21,19,7,10,A25-A-1124,A25-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,11.64383,13,Shallow,Shallow Aposymbiotic,16,160000,2080000,,178635.3803,,1.46493,
A9-S,75.1,36,6,0.5,372.5448,4.8430824,0.49270191,63.28,127,145,112,83,165,A9-S-1124,A9-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,9.82964,13,Shallow,Shallow Symbiotic,126.4,1264000,16432000,9516000,1671678.719,1004508.868,0.29473481,0.630913405
A9-A,382,179,6,5,193.4184,2.5144392,0.326237866,50.26,11,18,4,27,40,A9-A-1124,A9-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,7.70738,13,Shallow,Shallow Aposymbiotic,20,2e+05,2600000,,337339.0179,,0.967092,
A10-S,321,154,6,0.5,1591.176,15.91176,0.97711435,102.88,44,58,75,49,88,A10-S-1124,A10-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,16.28444,10,Shallow,Shallow Symbiotic,62.8,628000,6280000,4820000,385644.2101,297073.3207,2.533719745,1.299895944
A10-A,49.4,26.1,6,5,22.20024,0.2220024,0.013776202,101.84,34,26,15,55,38,A10-A-1124,A10-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.11492,10,Shallow,Shallow Aposymbiotic,33.6,336000,3360000,,208502.4313,,0.066072143,
A19-S,69.2,34.8,6,0.5,327.7632,3.277632,0.167757469,122.84,66,69,175,86,143,A11-S-new_1124,AX5-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,19.53792,10,Shallow,Shallow Symbiotic,107.8,1078000,10780000,7010000,551747.576,410535.5625,0.304047495,0.19010634
A19-A,48.5,22.6,6,5,24.67752,0.2467752,0.020513078,76.78,12,64,20,13,53,A11-A-new_1124,AX5-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,12.03014,10,Shallow,Shallow Aposymbiotic,32.4,324000,3240000,,269323.549,,0.076165185,
A21-S,298,153,6,0.5,1381.56,13.8156,1.133517937,77.75,78,98,110,105,91,A14-S-new_1124,SX7-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,12.18825,10,Shallow,Shallow Symbiotic,96.4,964000,9640000,7050000,790925.6866,705305.9904,1.433153527,0.726371804
A21-A,13.4,4.23,6,5,8.737176,0.08737176,0.012139705,47.13,74,17,23,37,72,A14-A-new_1124,SX7-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,7.19719,10,Shallow,Shallow Aposymbiotic,44.6,446000,4460000,,619686.2942,,0.019590081,
A18-S,614,292,6,0.5,3068.016,33.748176,0.914567862,229.36,25,64,34,53,24,A18-S-1124,AX3-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,36.90068,11,Shallow,Shallow Symbiotic,40,4e+05,4400000,2710000,119238.9951,82046.08015,7.67004,6.268396471
A18-A,982,461,6,5,496.4088,4.964088,0.218289274,142.49,12,8,19,3,9,A18-A-1124,AX3-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,22.74087,10,Shallow,Shallow Aposymbiotic,10.2,102000,1020000,,44853.16525,,4.866752941,
S1-S,321,182,6,5,132.4392,1.324392,0.062421796,133.14,88,132,76,119,94,S1-S-1124,S1-S,Symbiotic,Symbiotic,November,2024,Nov_24,21.21682,10,Shallow,Shallow Symbiotic,101.8,1018000,10180000,8520000,479808.0014,535681.3692,0.130097446,0.066583481
S1-A,1.71,-0.5,6,5,2.105688,0.02105688,0.001815787,74.12,38,102,43,87,73,S1-A-1124,S1-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,11.59656,10,Shallow,Shallow Aposymbiotic,68.6,686000,6860000,,591554.7369,,0.003069516,
S6-S,591,292,6,0.5,2848.872,28.48872,1.891847094,95.36,186,178,219,159,204,S6-S-1124,SX6-S,Symbiotic,Symbiotic,November,2024,Nov_24,15.05868,10,Shallow,Shallow Symbiotic,189.2,1892000,18920000,12030000,1256418.225,950741.9871,1.5057463,0.749165757
S6-A,-4,NA,6,5,-3.8112,-0.038112,-0.004783024,51.86,24,63,97,18,55,S6-A-1124,SX6-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,7.96818,10,Shallow,Shallow Aposymbiotic,51.4,514000,5140000,,645065.749,,-0.007414786,
S7-S,256,126,6,0.1,6193.2,61.932,2.397854429,161.43,57,33,49,59,37,S7-S-1124,S7-S,Symbiotic,Symbiotic,November,2024,Nov_24,25.82809,10,Shallow,Shallow Symbiotic,47,470000,4700000,4040000,181972.4184,152589.4088,13.17702128,7.499026615
S7-A,127,62.4,6,0.5,615.5088,6.155088,0.22436279,171.28,38,11,51,46,23,S7-A-1124,S7-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,27.43364,10,Shallow,Shallow Aposymbiotic,33.8,338000,3380000,,123206.3992,,1.821031953,
S9-S,786,364,6,0.5,4020.816,40.20816,1.963908538,128.58,94,112,78,69,85,S9-S-1124,S9-S,Symbiotic,Symbiotic,November,2024,Nov_24,20.47354,10,Shallow,Shallow Symbiotic,87.6,876000,8760000,6970000,427869.3377,408172.9174,4.589972603,2.293606765
S9-A,-1.5,NA,6,5,-1.4292,-0.014292,-0.001071835,84.78,47,31,68,91,22,S9-A-1124,S9-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,13.33414,10,Shallow,Shallow Aposymbiotic,51.8,518000,5180000,,388476.4972,,-0.002759073,
S10-S,199,94.2,6,0.1,4992.672,49.92672,1.100075069,281.41,172,148,209,187,221,S10-S-1124,S10-S,Symbiotic,Symbiotic,November,2024,Nov_24,45.38483,10,Shallow,Shallow Symbiotic,187.4,1874000,18740000,15970000,412913.3016,866835.0476,2.664179296,1.331620466
S10-A,-1.3,NA,6,5,-1.23864,-0.0123864,-0.00123935,64.29,134,118,157,102,149,S10-A-1124,S10-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.99427,10,Shallow,Shallow Aposymbiotic,132,1320000,13200000,,1320756.794,,-0.000938364,
S27-S,78.1,38.4,6,0.5,378.2616,3.782616,0.40229554,60.66,48,62,55,49,39,S11-S-new_1124,SX8-S,Symbiotic,Symbiotic,November,2024,Nov_24,9.40258,10,Shallow,Shallow Symbiotic,50.6,506000,5060000,3010000,538150.1673,321562.5523,0.747552569,0.347971285
S27-A,-5.2,NA,6,5,-4.95456,-0.0495456,-0.005417757,59.08,2,11,14,4,17,S11-A-new_1124,SX8-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.14504,10,Shallow,Shallow Aposymbiotic,9.6,96000,960000,,104974.9372,,-0.05161,
A11-S,449,217,6,0.5,2210.496,22.10496,1.638344976,85.75,59,146,156,53,101,A11-S-old_1124,A11-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,13.49225,10,Shallow,Shallow Symbiotic,103,1030000,10300000,6970000,763401.2118,602389.3245,2.146112621,1.07441091
A11-A,1.29,0.255,6,5,0.986148,0.00986148,0.001195779,53.57,63,10,45,27,37,A11-A-old-1124,A11-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,8.24691,10,Shallow,Shallow Aposymbiotic,36.4,364000,3640000,,441377.4371,,0.002709198,
S11-S,687,322,6,0.5,3477.72,36.51606,2.143685894,107.48,158,203,224,176,193,S11-S-old-1124,S11-S,Symbiotic,Symbiotic,November,2024,Nov_24,17.03424,10.5,Shallow,Shallow Symbiotic,190.8,1908000,20034000,16337000,1176101.781,1139551.636,1.822704403,0.961102834
S11-A,252,120,6,5,125.7696,1.257696,0.109750045,73.28,165,94,121,143,109,S11-A-old-1124,S11-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,11.45964,10,Shallow,Shallow Aposymbiotic,126.4,1264000,12640000,,1103001.49,,0.099501266,
S15-S,244,118,6,0.5,1200.528,12.00528,2.483667757,32.63,155,198,173,220,207,S15-S-1124,S15-S,Symbiotic,Symbiotic,November,2024,Nov_24,4.83369,10,Shallow,Shallow Symbiotic,190.6,1906000,19060000,16706000,3943157.298,2570433.514,0.629867786,0.352725239
S15-A,196,97,6,5,94.3272,1.0847628,0.090526126,76.49,105,138,166,124,91,S15-A-1124,S15-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,11.98287,11.5,Shallow,Shallow Aposymbiotic,124.8,1248000,14352000,,1197709.731,,0.075582692,
S26-S,394,187,6,0.1,9861.48,98.6148,5.935751819,104.9,120,145,182,97,123,S26-S-1124,SX5-S,Symbiotic,Symbiotic,November,2024,Nov_24,16.6137,10,Shallow,Shallow Symbiotic,133.4,1334000,13340000,10180000,802951.7808,759092.8775,7.392413793,5.138300914
S26-A,80.9,38.4,6,0.1,2024.7,20.247,2.06286927,63.19,73,119,54,62,43,S26-A-1124,SX5-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.81497,10,Shallow,Shallow Aposymbiotic,70.2,702000,7020000,,715233.9742,,2.884188034,
S12-S,228,108,6,0.1,5716.8,57.168,1.362222256,260.44,141,167,229,184,212,S12-S-1124,A12,Symbiotic,Symbiotic,November,2024,Nov_24,41.96672,10,Shallow,Shallow Symbiotic,186.6,1866000,18660000,18660000,444638.037,460045.3889,3.063665595,1.724591567
S12-A,104,51.4,6,0.5,501.1728,5.011728,0.18329537,170.72,97,160,128,113,152,S12-A-1124,A12-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,27.34236,10,Shallow,Shallow Aposymbiotic,130,1300000,1.3e+07,,475452.7407,,0.385517538,
S16-S,188,92.3,6,0.5,911.8296,9.118296,0.677290125,85.57,161,214,189,205,226,S16-S-1124,S16-S,Symbiotic,Symbiotic,November,2024,Nov_24,13.46291,10,Shallow,Shallow Symbiotic,199,1990000,19900000,16380000,1478135.113,1148513.207,0.458205829,0.265925745
S16-A,199,99.6,6,5,94.70832,0.9470832,0.060307791,99.32,135,95,164,99,150,S16-A-1124,S16-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,15.70416,10,Shallow,Shallow Aposymbiotic,128.6,1286000,12860000,,818891.3001,,0.073645661,
S17-S,235,116,6,0.5,1133.832,11.33832,1.013930645,71.58,183,229,246,171,196,S17-S-1124,S17-S,Symbiotic,Symbiotic,November,2024,Nov_24,11.18254,10,Shallow,Shallow Symbiotic,205,2050000,20500000,16650000,1833214.994,1573582.415,0.55308878,0.39266689
S17-A,599,287,6,5,297.2736,2.972736,0.30515828,62.74,117,142,108,163,110,S17-A-1124,S17-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.74162,10,Shallow,Shallow Aposymbiotic,128,1280000,12800000,,1313949.836,,0.232245,
S18-S,138,67.4,6,0.5,672.6768,6.726768,0.406408019,104.52,48,90,62,74,85,S18-S-1124,S18-S,Symbiotic,Symbiotic,November,2024,Nov_24,16.55176,10,Shallow,Shallow Symbiotic,71.8,718000,7180000,10430000,433790.7268,443094.2921,0.936875766,0.555499287
S18-A,497,247,6,5,238.2,2.382,0.078772785,188.49,128,147,104,166,139,S18-A-1124,S18-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,30.23887,10,Shallow,Shallow Aposymbiotic,136.8,1368000,13680000,,452397.8575,,0.174122807,
S19-S,553,263,6,0.5,2763.12,27.6312,0.954514506,180.57,108,127,97,134,83,S19-S-1124,S19-S,Symbiotic,Symbiotic,November,2024,Nov_24,28.94791,10,Shallow,Shallow Symbiotic,109.8,1098000,10980000,8140000,379301.9945,396033.2717,2.516502732,1.558473253
S19-A,640,306,6,5,318.2352,3.182352,0.247841903,81.75,72,14,89,33,57,S19-A-1124,S19-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,12.84025,10,Shallow,Shallow Aposymbiotic,53,530000,5300000,,412764.549,,0.600443774,
S21-S,445,211,6,0.5,2229.552,24.525072,0.963659704,159.11,114,88,187,154,106,S21-S-1124,S21-S,Symbiotic,Symbiotic,November,2024,Nov_24,25.44993,11,Shallow,Shallow Symbiotic,129.8,1298000,14278000,11776500,561023.1541,480581.9846,1.717682589,0.97762027
S21-A,368,183,6,5,176.268,2.20335,0.095056632,145.18,89,54,112,44,72,S21-A-1124,S21-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,23.17934,12.5,Shallow,Shallow Aposymbiotic,74.2,742000,9275000,,400140.8151,,0.237557951,
S22-S,81,42.9,6,0.1,1815.084,18.15084,0.583301197,193.88,111,186,153,197,121,S22-S-1124,S22-S,Symbiotic,Symbiotic,November,2024,Nov_24,31.11744,10,Shallow,Shallow Symbiotic,153.6,1536000,15360000,11567000,493613.8705,453764.8089,1.181695313,0.853008603
S22-A,74.6,37.4,6,0.5,354.4416,4.0760784,0.217025088,118.2,69,54,84,55,76,S22-A-1124,S22-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,18.7816,11.5,Shallow,Shallow Aposymbiotic,67.6,676000,7774000,,413915.7473,,0.524321893,
D1,15,11.8,6,5,3.04896,0.038112,0.001812833,94.14,3,2,0,2,0,D1-1124,D1-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,21.023444,12.5,Deep,Deep Aposymbiotic,1.4,14000,175000,,8324.040533,,0.217782857,
D2,21.9,11.1,6,5,10.29024,0.1029024,0.005320376,86.65,2,0,0,1,0,D2-1124,D2-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,19.34119,10,Deep,Deep Aposymbiotic,0.6,6000,60000,,3102.187611,,1.71504,
D3,23.6,16.4,6,5,6.86016,0.07546176,0.005476143,61.89,0,0,1,2,0,D3-1124,D3-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,13.780094,11,Deep,Deep Aposymbiotic,0.6,6000,66000,,4789.517401,,1.14336,
D4,22.1,15.3,6,5,6.47904,0.0647904,0.004488136,64.81,0,2,0,1,2,D4-1124,D4-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,14.435926,10,Deep,Deep Aposymbiotic,1,10000,1e+05,,6927.162137,,0.647904,
D5,14.1,9.22,6,5,4.649664,0.051146304,0.003035321,75.56,0,1,4,2,0,D5-1124,D5-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.850376,11,Deep,Deep Aposymbiotic,1.4,14000,154000,,9139.261937,,0.332118857,
D6,10.7,7.24,6,5,3.296688,0.03296688,0.002070423,71.43,1,0,2,1,1,D6-1124,D6-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,15.922778,10,Deep,Deep Aposymbiotic,1,10000,1e+05,,6280.311137,,0.3296688,
D7,25.8,12.5,6,5,12.67224,0.1267224,0.026019894,22.22,5,2,1,2,0,D7-1124,D7-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,4.870212,10,Deep,Deep Aposymbiotic,2,20000,2e+05,,41065.97413,,0.633612,
D8,17.2,13.7,6,5,3.3348,0.0366828,0.002571483,64.05,4,1,2,3,1,D8-1124,D8-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,14.26523,11,Deep,Deep Aposymbiotic,2.2,22000,242000,,16964.32515,,0.151581818,
D9,16.4,11.5,6,5,4.66872,0.0466872,0.002565516,81.56,0,2,1,3,1,D9-1124,D9-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,18.197976,10,Deep,Deep Aposymbiotic,1.4,14000,140000,,7693.16324,,0.33348,
D10,4.38,3.56,6,5,0.781296,0.00781296,0.000599203,58.59,0,2,0,1,0,D10-1124,D10-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,13.038914,10,Deep,Deep Aposymbiotic,0.6,6000,60000,,4601.610226,,0.130216,
D11,10.1,9.4,6,5,0.66696,0.0066696,0.000342493,87.24,0,0,0,4,0,D11-1124,D11-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,19.473704,10,Deep,Deep Aposymbiotic,0.8,8000,80000,,4108.103933,,0.08337,
D12,10.1,6.9,6,5,3.04896,0.0304896,0.001875944,72.9,1,0,2,3,0,D12-1124,D12-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.25294,10,Deep,Deep Aposymbiotic,1.2,12000,120000,,7383.279579,,0.25408,
D13,5.57,4.19,4,5,0.876576,0.00876576,0.001254771,31.64,2,0,0,1,5,D13-1124,D13-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,6.985944,10,Deep,Deep Aposymbiotic,1.6,16000,160000,,22903.13235,,0.054786,
D14,12.5,10.1,6,5,2.28672,0.028584,0.001224256,104.49,0,3,0,0,1,D14-1124,D14-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,23.348054,12.5,Deep,Deep Aposymbiotic,0.8,8000,1e+05,,4283.012195,,0.28584,
D15,5.04,2.67,6,5,2.258136,0.02258136,0.002259641,45.03,2,0,2,3,1,D15-1124,D15-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,9.993338,10,Deep,Deep Aposymbiotic,1.6,16000,160000,,16010.66631,,0.1411335,
